SourceFile,Latitude,Longitude,AbsoluteAltitude,RelativeAltitude,GimbalRollDegree,GimbalYawDegree,GimbalPitchDegree,FlightRollDegree,FlightYawDegree,FlightPitchDegree
./DJI_0356.JPG,+33.8492073,-106.8739933,+1.20,+1328.13,+0.00,-30.20,-89.90,-1.70,-10.90,-2.70
./DJI_0342.JPG,+33.8485908,-106.8738485,+1.20,+1328.23,+0.00,-30.10,-89.90,-0.40,-11.00,-1.60
./DJI_0424.JPG,+33.8479595,-106.8734428,+1.20,+1328.33,+0.00,-29.70,-89.90,-1.50,-11.20,-2.00
./DJI_0395.JPG,+33.8481644,-106.8736181,+1.20,+1328.13,+0.00,+149.40,-89.90,+1.90,+168.80,-0.90
./DJI_0381.JPG,+33.8487822,-106.8737646,+1.20,+1328.33,+0.00,+149.40,-89.90,-0.40,+169.00,-1.40
./DJI_0380.JPG,+33.8488280,-106.8737762,+1.20,+1328.43,+0.00,+149.40,-89.90,-1.10,+168.50,-1.10
./DJI_0394.JPG,+33.8482108,-106.8736294,+1.20,+1328.13,+0.00,+149.50,-89.90,+1.70,+168.90,-2.80
./DJI_0343.JPG,+33.8486341,-106.8738584,+1.20,+1328.23,+0.00,-30.10,-89.90,-0.40,-11.10,-0.80
./DJI_0425.JPG,+33.8480021,-106.8734526,+1.20,+1328.23,+0.00,-29.80,-89.90,-1.70,-11.00,-2.70
./DJI_0431.JPG,+33.8482682,-106.8735174,+1.20,+1328.33,+0.00,-29.90,-89.90,+0.20,-11.10,-1.80
./DJI_0357.JPG,+33.8492531,-106.8740048,+1.20,+1328.13,+0.00,-30.20,-89.90,-1.40,-10.70,-3.60
./DJI_0419.JPG,+33.8477385,-106.8733914,+1.20,+1328.43,+0.00,-29.10,-89.90,-0.50,-10.90,-1.40
./DJI_0592.JPG,+33.8486377,-106.8730901,+1.20,+1328.43,+0.00,-29.90,-89.90,-1.10,-11.20,-0.50
./DJI_0586.JPG,+33.8483736,-106.8730265,+1.20,+1328.43,+0.00,-29.40,-89.90,-1.00,-11.30,-0.20
./DJI_0551.JPG,+33.8491744,-106.8733475,+1.20,+1328.33,+0.00,+148.80,-89.90,+0.60,+168.90,+0.10
./DJI_0545.JPG,+33.8494414,-106.8734118,+1.20,+1328.53,+0.00,+145.50,-89.90,+1.30,+168.80,-0.30
./DJI_0579.JPG,+33.8479599,-106.8730421,+1.20,+1328.23,-10.20,+114.20,-90.00,-12.80,+77.30,-0.20
./DJI_0560.JPG,+33.8487804,-106.8732551,+1.20,+1328.23,+0.00,+149.40,-89.90,+0.70,+168.50,-2.00
./DJI_0574.JPG,+33.8481612,-106.8731079,+1.20,+1328.13,+0.00,+149.50,-89.90,+0.50,+168.80,-3.80
./DJI_0548.JPG,+33.8493063,-106.8733797,+1.20,+1328.33,+0.00,+148.30,-89.90,+0.20,+168.60,+0.10
./DJI_0602.JPG,+33.8490780,-106.8731959,+1.20,+1328.33,+0.00,-30.20,-89.90,+0.00,-11.00,-1.50
./DJI_0372.JPG,+33.8491798,-106.8738595,+1.20,+1328.33,+0.00,+148.90,-89.90,+0.00,+169.00,+0.90
./DJI_0414.JPG,+33.8475193,-106.8733405,+1.20,+1328.33,+0.00,-6.50,-89.90,-2.00,+0.30,-1.00
./DJI_0400.JPG,+33.8479433,-106.8735669,+1.20,+1328.13,+0.00,+149.50,-89.90,+1.10,+168.70,-1.20
./DJI_0366.JPG,+33.8494435,-106.8739227,+1.20,+1328.33,+0.00,+147.20,-89.90,+0.20,+169.10,+1.00
./DJI_0428.JPG,+33.8481368,-106.8734844,+1.20,+1328.23,+0.00,-29.90,-89.90,-2.30,-11.20,-1.00
./DJI_0399.JPG,+33.8479896,-106.8735776,+1.20,+1328.13,+0.00,+149.50,-89.90,+1.50,+168.80,-2.20
./DJI_0398.JPG,+33.8480316,-106.8735879,+1.20,+1328.13,+0.00,+149.40,-89.90,+1.10,+168.80,-2.00
./DJI_0429.JPG,+33.8481801,-106.8734958,+1.20,+1328.13,+0.00,-29.90,-89.90,+0.40,-10.70,-1.00
./DJI_0401.JPG,+33.8478998,-106.8735561,+1.20,+1328.13,+0.00,+149.40,-89.90,+1.30,+168.80,-2.00
./DJI_0367.JPG,+33.8493974,-106.8739113,+1.20,+1328.43,+0.00,+148.20,-89.90,+0.10,+168.70,+1.50
./DJI_0373.JPG,+33.8491338,-106.8738491,+1.20,+1328.43,+0.00,+149.10,-89.90,-0.10,+169.90,+0.50
./DJI_0415.JPG,+33.8475618,-106.8733509,+1.20,+1328.43,+0.00,-26.30,-89.90,+0.00,-10.90,-1.00
./DJI_0603.JPG,+33.8491154,-106.8732044,+1.20,+1328.23,+0.00,-30.20,-89.90,-1.50,-19.50,+2.60
./DJI_0549.JPG,+33.8492622,-106.8733686,+1.20,+1328.33,+0.00,+148.50,-89.90,+0.60,+168.80,+0.00
./DJI_0575.JPG,+33.8481171,-106.8730974,+1.20,+1328.23,+0.00,+149.50,-89.90,+0.80,+168.80,-3.60
./DJI_0561.JPG,+33.8487347,-106.8732444,+1.20,+1328.33,+0.00,+149.40,-89.90,+1.10,+168.70,-2.30
./DJI_0577.JPG,+33.8480283,-106.8730763,+1.20,+1328.13,+0.00,+149.50,-89.90,+1.90,+168.70,-3.50
./DJI_0563.JPG,+33.8486459,-106.8732236,+1.20,+1328.13,+0.00,+149.40,-89.90,+1.20,+168.70,-1.80
./DJI_0588.JPG,+33.8484618,-106.8730482,+1.20,+1328.43,+0.00,-29.70,-89.90,-0.90,-11.10,+0.50
